Sl,Name,Packing,Expiry,Qty,BillPrice,TValue
92,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
93,COD CV SYP,30ML,Jul-25,44,165,14686.89
94,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
95,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
96,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
97,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
98,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
99,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
100,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
101,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
102,ASCOTOR ELX 100 MLSYP,15s,Sep-25,18,118,3708.21
103,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
104,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
105,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
106,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
107,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
108,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
109,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
110,BABYLIVER DROP 30ML,30ML,Jul-25,108,20.16,2177.28
111,MOXIMIN D EYE DROPS,10ML,Aug-25,140,14.56,2038.4
112,EVEE 600 SG,10s,Jan-25,77,25.96,1998.92
113,NUTROVIT CAP,10S,Jun-25,80,24.5,1960
114,MEDICYES CALDIYES CCM TABLET,30S,Aug-25,26,61.36,1595.36
115,NUREX SF 100ML SYP,100ML,Mar-25,47,24.64,1158.08
116,GIOLIFE 12G,10S,Jun-25,20,53.1,1062
117,MINCOFOL 500 TAB,10s,Jul-25,70,15.12,1058.4
118,ROSID 10MG TAB,10S,Jun-25,60,16.8,1008
119,NUKIND ALOEVERA JUICE,500ML,Jan-25,9,91.72,825.48
120,ORTHOBST PAIN OIL 50ML,50ML,Aug-25,15,36.96,554.4
121,EVEE 600 SG,10s,Apr-25,20,25.96,519.2
122,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
123,PIKOLAX SYP,100ML,Nov-24,17.5,92,399.55
124,ELDERVIT GOLD SG,10S,Jan-25,9.5,210,399.02
125,ELDACTIN PLUS SYP,200ML,Jul-25,25.5,184,322.14
126,ITRA OC OINT,15GM,May-25,15,118,321.05
127,KETOSOL SHAMPOO,100ML,Aug-25,47,307,318.5
128,ZERODER TP4 TAB,10S,May-25,50,210,300.66
129,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
130,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
131,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
132,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
133,DICYNIL ING,2ML,Aug-25,6,24,55.25
134,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
135,COD CV SYP,30ML,Jul-25,44,165,14686.89
136,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
137,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
138,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
139,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
140,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
141,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
142,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
143,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
144,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
145,NFACE CREAM 30GM(SUPER SAVER,30GM,Jul-25,5,67.87,339.35
146,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
147,PANTORE-D TAB,10S,May-25,20,12.32,246.4
148,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
149,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
150,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
151,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
152,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
153,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
154,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
155,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
156,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
157,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
158,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
159,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
160,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
161,DICYNIL ING,2ML,Aug-25,6,24,55.25
162,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
163,COD CV SYP,30ML,Jul-25,44,165,14686.89
164,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
165,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
166,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
167,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
168,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
169,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
170,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
171,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
172,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
173,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
174,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
175,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
176,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
177,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
178,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
179,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
180,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
181,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
182,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
183,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
184,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
185,BODYGROW SG,10S,Jan-25,8.5,160,609.38
186,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
187,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
188,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
189,ASCOTOR ELX 100 MLSYP,100ML,Sep-25,18,118,3708.21
190,ELDERVIT TABS,15S,Sep-25,21,230,2858.86
191,TELNI M TABS,10S,Aug-24,30,145,2822.4
192,METFOR 1000SR TAB,15S,Aug-25,17.5,68,2779.68
193,DECA-ELBOLIN 25 ING,1S,May-25,11.5,265,2690.64
194,ELDIGESIC COLD N FLU TABS,10S,Mar-25,12.4,78,2509.65
195,BISACODYL TAB,10S,Mar-25,4.43,12.38,2411.21
196,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
